"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"3797","Manjushree Veg","Quick Bites","3.5","10","150","No","No","South Indian, Chinese","3797","Bannerghatta Road","Bannerghatta Road"
"3798","Manshi Paratha & Pav Bhaji","Takeaway, Delivery","3.2","6","150","Yes","No","North Indian, Fast Food","3798","HSR","HSR"
"3799","Mantap Ice Cream","Dessert Parlor","3.5","7","200","No","No","Desserts","3799","Lavelle Road","Majestic"
"3800","MAP- My Appetite Place","Takeaway, Delivery","3.8","29","600","Yes","No","North Indian, Italian, Chinese","3800","Bellandur","HSR"
"3801","Marahaba","Quick Bites","3","7","400","Yes","No","Arabian, Mediterranean","3801","Byresandra,Tavarekere,Madiwala","Koramangala 6th Block"
"3802","Maraheb Restaurant","Casual Dining","4.2","219","1000","Yes","No","Arabian","3802","Kalyan Nagar","Kalyan Nagar"
"3803","Marakachi","Casual Dining","3.7","82","600","Yes","No","Chettinad","3803","Kammanahalli","Kalyan Nagar"
"3804","Maratha Darshan","Quick Bites","4","107","400","No","No","Maharashtrian, North Indian","3804","Brigade Road","Cunningham Road"
"3805","Marathi Biriyani House","Quick Bites","3.3","6","300","Yes","No","South Indian, Biryani","3805","Brigade Road","Frazer Town"
"3806","Maravanthe","Casual Dining","3.5","12","650","Yes","No","Mangalorean, Seafood","3806","Brigade Road","Brigade Road"
"3807","Marenahalli Donne Biriyani","Quick Bites","3.9","259","300","Yes","No","Biryani, Fast Food","3807","Basavanagudi","JP Nagar"
"3808","Marhaba","Casual Dining","3.6","42","600","Yes","No","Arabian, Mediterranean, North Indian","3808","Kalyan Nagar","Nagawara"
"3809","Maria Taste Circle","Casual Dining","3.9","666","450","Yes","No","South Indian, North Indian, Kerala, Seafood","3809","Brookefield","Marathahalli"
"3810","Maria's Goan Kitchen","Casual Dining","3.9","391","750","Yes","No","Goan, Chinese, Biryani","3810","Byresandra,Tavarekere,Madiwala","Koramangala 7th Block"
"3811","Marigold Fine Dine Restaurant","Casual Dining","4","288","1500","No","Yes","Continental, Asian","3811","Brookefield","Whitefield"
"3812","Mark","Takeaway, Delivery","3.7","36","500","Yes","No","Andhra, Fast Food","3812","HSR","HSR"
"3813","Market Table","Cafe","4.5","546","900","No","Yes","Cafe, Continental, Mediterranean, Beverages","3813","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"3814","Marley's Bistro","Casual Dining","3.9","93","400","Yes","No","Continental, European, Salad, Beverages, Italian, Burger","3814","Electronic City","Electronic City"
"3815","Marmaris","Quick Bites","3.8","76","300","No","No","North Indian, Momos","3815","Electronic City","Electronic City"
"3816","Mars Chicken Delight","Casual Dining","3.7","107","500","No","No","North Indian, Chinese, Biryani, Beverages","3816","Koramangala 4th Block","Koramangala 1st Block"
"3817","Martino's","Quick Bites","3.6","30","350","No","No","Italian, Pizza","3817","Koramangala 4th Block","Koramangala 1st Block"
"3818","Marunadan Kada","Quick Bites","3.3","6","250","No","No","Kerala, Tea","3818","Byresandra,Tavarekere,Madiwala","BTM"
"3819","Maruthi Davangere Benne Dosa","Quick Bites","4","17","150","Yes","No","South Indian","3819","Banashankari","Banashankari"
"3820","Maruti Garden","Quick Bites","0","40","500","No","No","North Indian, Kerala","3820","Koramangala 6th Block","BTM"
"3821","Marwa Family Restaurant","Quick Bites","3","8","500","No","No","North Indian, Chinese","3821","Electronic City","Electronic City"
"3822","Marwa Restaurant","Casual Dining","3.5","551","600","Yes","Yes","North Indian, Chinese, Fast Food, BBQ","3822","Bannerghatta Road","Bannerghatta Road"
"3823","Marwari Basa","Quick Bites","3.1","26","300","Yes","No","Rajasthani, North Indian","3823","Bellandur","Bellandur"
"3824","Mary Cafe","Quick Bites","3.3","17","150","No","No","Chinese, South Indian","3824","Indiranagar","Thippasandra"
